Unique Key,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Facility Type,Status,Community Board,Borough,Park Borough
26984636,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10457,1690 CLAY AVENUE,CLAY AVENUE,EAST 173 STREET,EAST 174 STREET,,,ADDRESS,BRONX,N/A,Closed,04 BRONX,BRONX,BRONX
26984640,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10034,5056 BROADWAY,BROADWAY,WEST 215 STREET,DONALD J MC INTYRE WAY,,,ADDRESS,NEW YORK,N/A,Closed,12 MANHATTAN,MANHATTAN,MANHATTAN
26986419,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB,RESIDENTIAL BUILDING,11213,1803 UNION STREET,UNION STREET,UTICA AVENUE,ROCHESTER AVENUE,,,ADDRESS,BROOKLYN,N/A,Closed,Unspecified BROOKLYN,BROOKLYN,BROOKLYN
26986428,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,RESIDENTIAL BUILDING,11103,25-63 42 STREET,42 STREET,25 AVENUE,28 AVENUE,,,ADDRESS,Astoria,N/A,Closed,01 QUEENS,QUEENS,QUEENS
26986493,HPD,Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,RESIDENTIAL BUILDING,11212,1002 RUTLAND ROAD,RUTLAND ROAD,EAST 93 STREET,EAST 94 STREET,,,ADDRESS,BROOKLYN,N/A,Closed,17 BROOKLYN,BROOKLYN,BROOKLYN
26986519,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,RESIDENTIAL BUILDING,10030,203 WEST 138 STREET,WEST 138 STREET,7 AVENUE,8 AVENUE,,,ADDRESS,NEW YORK,N/A,Closed,Unspecified MANHATTAN,MANHATTAN,MANHATTAN
26986553,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11249,80 ROSS STREET,ROSS STREET,WYTHE AVENUE,BEDFORD AVENUE,,,ADDRESS,BROOKLYN,N/A,Closed,01 BROOKLYN,BROOKLYN,BROOKLYN
26986561,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11216,944 MARCY AVENUE,MARCY AVENUE,MACON STREET,MAC DONOUGH STREET,,,ADDRESS,BROOKLYN,N/A,Closed,03 BROOKLYN,BROOKLYN,BROOKLYN
26986585,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11209,8225 5 AVENUE,5 AVENUE,82 STREET,83 STREET,,,ADDRESS,BROOKLYN,N/A,Closed,10 BROOKLYN,BROOKLYN,BROOKLYN
26986605,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10452,1040 GERARD AVENUE,GERARD AVENUE,EAST 164 STREET,EAST 165 STREET,,,ADDRESS,BRONX,N/A,Closed,04 BRONX,BRONX,BRONX
26986607,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10453,1944 ANDREWS AVENUE,ANDREWS AVENUE,BEND,WEST 179 STREET,,,ADDRESS,BRONX,N/A,Closed,05 BRONX,BRONX,BRONX
26986608,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10025,316 WEST 93 STREET,WEST 93 STREET,WEST END AVENUE,RIVERSIDE DRIVE,,,ADDRESS,NEW YORK,N/A,Closed,07 MANHATTAN,MANHATTAN,MANHATTAN
26986624,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11418,87-50 111 STREET,111 STREET,JAMAICA AVENUE,91 AVENUE,,,ADDRESS,Richmond Hill,N/A,Closed,09 QUEENS,QUEENS,QUEENS
26986625,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11226,131 EAST 21 STREET,EAST 21 STREET,CATON AVENUE,CHURCH AVENUE,,,ADDRESS,BROOKLYN,N/A,Closed,14 BROOKLYN,BROOKLYN,BROOKLYN
26986628,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10467,733 ARNOW AVENUE,ARNOW AVENUE,CRUGER AVENUE,HOLLAND AVENUE,,,ADDRESS,BRONX,N/A,Closed,11 BRONX,BRONX,BRONX
26986631,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10472,1990 ELLIS AVENUE,ELLIS AVENUE,VIRGINIA AVENUE,PUGSLEY AVENUE,,,ADDRESS,BRONX,N/A,Closed,09 BRONX,BRONX,BRONX
26986633,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10033,708 WEST 177 STREET,WEST 177 STREET,BROADWAY,FT WASHINGTON AVENUE,,,ADDRESS,NEW YORK,N/A,Closed,12 MANHATTAN,MANHATTAN,MANHATTAN
26986640,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11213,1226 LINCOLN PLACE,LINCOLN PLACE,TROY AVENUE,SCHENECTADY AVENUE,,,ADDRESS,BROOKLYN,N/A,Closed,08 BROOKLYN,BROOKLYN,BROOKLYN
26986655,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10461,3132 BUHRE AVENUE,BUHRE AVENUE,PARKVIEW AVENUE,BRUCKNER BOULEVARD,,,ADDRESS,BRONX,N/A,Closed,10 BRONX,BRONX,BRONX
26986670,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10027,98 MORNINGSIDE AVENUE,MORNINGSIDE AVENUE,WEST 122 STREET,WEST 123 STREET,,,ADDRESS,NEW YORK,N/A,Closed,10 MANHATTAN,MANHATTAN,MANHATTAN
26986671,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10457,1747 CLAY AVENUE,CLAY AVENUE,CROSS BRONX EXPRESSWAY,PROSPECT PLACE,,,ADDRESS,BRONX,N/A,Closed,05 BRONX,BRONX,BRONX
26986673,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10028,1258 LEXINGTON AVENUE,LEXINGTON AVENUE,EAST 84 STREET,EAST 85 STREET,,,ADDRESS,NEW YORK,N/A,Closed,08 MANHATTAN,MANHATTAN,MANHATTAN
26984646,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10456,1310 SHERIDAN AVENUE,SHERIDAN AVENUE,EAST 169 STREET,MARCY PLACE,,,ADDRESS,BRONX,N/A,Closed,04 BRONX,BRONX,BRONX
26984658,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10463,3810 BAILEY AVENUE,BAILEY AVENUE,WEST 238 STREET,BEND,,,ADDRESS,BRONX,N/A,Closed,08 BRONX,BRONX,BRONX
26984662,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10467,2818 BRONX PARK EAST,BRONX PARK EAST,BRITTON STREET,ARNOW AVENUE,,,ADDRESS,BRONX,N/A,Closed,11 BRONX,BRONX,BRONX
26984668,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10025,227 WEST 109 STREET,WEST 109 STREET,AMSTERDAM AVENUE,BROADWAY,,,ADDRESS,NEW YORK,N/A,Closed,07 MANHATTAN,MANHATTAN,MANHATTAN
26984673,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10463,3810 BAILEY AVENUE,BAILEY AVENUE,WEST 238 STREET,BEND,,,ADDRESS,BRONX,N/A,Closed,08 BRONX,BRONX,BRONX
26984679,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11249,109 NORTH 7 STREET,NORTH 7 STREET,WYTHE AVENUE,BERRY STREET,,,ADDRESS,BROOKLYN,N/A,Closed,01 BROOKLYN,BROOKLYN,BROOKLYN
26984692,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10031,730 RIVERSIDE DRIVE,RIVERSIDE DRIVE,WEST 150 STREET,WEST 151 STREET,,,ADDRESS,NEW YORK,N/A,Closed,09 MANHATTAN,MANHATTAN,MANHATTAN
26984698,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11223,1637 DAHILL ROAD,DAHILL ROAD,AVENUE P,QUENTIN ROAD,,,ADDRESS,BROOKLYN,N/A,Closed,11 BROOKLYN,BROOKLYN,BROOKLYN
26984705,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10029,1786 3 AVENUE,3 AVENUE,EAST 99 STREET,EAST 100 STREET,,,ADDRESS,NEW YORK,N/A,Closed,11 MANHATTAN,MANHATTAN,MANHATTAN
26984708,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10031,522 WEST 150 STREET,WEST 150 STREET,AMSTERDAM AVENUE,BROADWAY,,,ADDRESS,NEW YORK,N/A,Closed,09 MANHATTAN,MANHATTAN,MANHATTAN
26984713,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10034,97 SHERMAN AVENUE,SHERMAN AVENUE,DYCKMAN STREET,ACADEMY STREET,,,ADDRESS,NEW YORK,N/A,Closed,12 MANHATTAN,MANHATTAN,MANHATTAN
26984725,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10014,455 HUDSON STREET,HUDSON STREET,MORTON STREET,BARROW STREET,,,ADDRESS,NEW YORK,N/A,Closed,02 MANHATTAN,MANHATTAN,MANHATTAN
26984726,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11226,131 EAST 21 STREET,EAST 21 STREET,CATON AVENUE,CHURCH AVENUE,,,ADDRESS,BROOKLYN,N/A,Closed,14 BROOKLYN,BROOKLYN,BROOKLYN
26984733,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10466,737 EAST 226 STREET,EAST 226 STREET,WHITE PLAINS ROAD,BARNES AVENUE,,,ADDRESS,BRONX,N/A,Closed,12 BRONX,BRONX,BRONX
26984734,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10033,708 WEST 177 STREET,WEST 177 STREET,BROADWAY,FT WASHINGTON AVENUE,,,ADDRESS,NEW YORK,N/A,Closed,12 MANHATTAN,MANHATTAN,MANHATTAN
26984735,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,10035,453 EAST 117 STREET,EAST 117 STREET,1 AVENUE,PLEASANT AVENUE,,,ADDRESS,NEW YORK,N/A,Closed,11 MANHATTAN,MANHATTAN,MANHATTAN
26984800,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10010,,,,,EAST 23 STREET,LEXINGTON AVENUE,INTERSECTION,NEW YORK,N/A,Assigned,05 MANHATTAN,MANHATTAN,MANHATTAN
26984931,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,RESIDENTIAL BUILDING,11229,2000 KINGS HIGHWAY,KINGS HIGHWAY,OCEAN AVENUE,AVENUE P,,,ADDRESS,BROOKLYN,N/A,Closed,15 BROOKLYN,BROOKLYN,BROOKLYN
26984976,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10458,2415 PROSPECT AVENUE,PROSPECT AVENUE,EAST 187 STREET,DEAD END,,,ADDRESS,BRONX,N/A,Closed,06 BRONX,BRONX,BRONX
26984994,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11209,1 74 STREET,74 STREET,SHORE ROAD,NARROWS AVENUE,,,ADDRESS,BROOKLYN,N/A,Closed,10 BROOKLYN,BROOKLYN,BROOKLYN
26985030,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11203,92 EAST 53 STREET,EAST 53 STREET,WINTHROP STREET,CLARKSON AVENUE,,,ADDRESS,BROOKLYN,N/A,Closed,17 BROOKLYN,BROOKLYN,BROOKLYN
26985053,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11104,41-15 45 STREET,45 STREET,SKILLMAN AVENUE,43 AVENUE,,,ADDRESS,Sunnyside,N/A,Closed,02 QUEENS,QUEENS,QUEENS
26985054,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11229,1675 EAST 18 STREET,EAST 18 STREET,KINGS HIGHWAY,QUENTIN ROAD,,,ADDRESS,BROOKLYN,N/A,Closed,15 BROOKLYN,BROOKLYN,BROOKLYN
26985055,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11225,57 LINCOLN ROAD,LINCOLN ROAD,FLATBUSH AVENUE,BEDFORD AVENUE,,,ADDRESS,BROOKLYN,N/A,Closed,09 BROOKLYN,BROOKLYN,BROOKLYN
26985058,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11213,575 HERKIMER STREET,HERKIMER STREET,HATTIE JONES COURT,JEWEL MC COY LANE,,,ADDRESS,BROOKLYN,N/A,Closed,03 BROOKLYN,BROOKLYN,BROOKLYN
26985078,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11432,88-05 171 STREET,171 STREET,88 AVENUE,89 AVENUE,,,ADDRESS,Jamaica,N/A,Closed,12 QUEENS,QUEENS,QUEENS
26985087,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10040,9 THAYER STREET,THAYER STREET,NAGLE AVENUE,SHERMAN AVENUE,,,ADDRESS,NEW YORK,N/A,Closed,12 MANHATTAN,MANHATTAN,MANHATTAN
26985099,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10031,615 WEST 150 STREET,WEST 150 STREET,BROADWAY,RIVERSIDE DRIVE,,,ADDRESS,NEW YORK,N/A,Open,09 MANHATTAN,MANHATTAN,MANHATTAN
26985109,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,11213,1803 UNION STREET,UNION STREET,UTICA AVENUE,ROCHESTER AVENUE,,,ADDRESS,BROOKLYN,N/A,Closed,09 BROOKLYN,BROOKLYN,BROOKLYN
26985191,HPD,Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10467,770 EAST 221 STREET,EAST 221 STREET,WHITE PLAINS ROAD,BARNES AVENUE,,,ADDRESS,BRONX,N/A,Closed,Unspecified BRONX,BRONX,BRONX
26985212,HPD,Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11226,245 LENOX ROAD,LENOX ROAD,ROGERS AVENUE,NOSTRAND AVENUE,,,ADDRESS,BROOKLYN,N/A,Closed,17 BROOKLYN,BROOKLYN,BROOKLYN
26985255,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,RESIDENTIAL BUILDING,11229,2000 KINGS HIGHWAY,KINGS HIGHWAY,OCEAN AVENUE,AVENUE P,,,ADDRESS,BROOKLYN,N/A,Closed,15 BROOKLYN,BROOKLYN,BROOKLYN
26985264,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,RESIDENTIAL BUILDING,11229,2000 KINGS HIGHWAY,KINGS HIGHWAY,OCEAN AVENUE,AVENUE P,,,ADDRESS,BROOKLYN,N/A,Closed,15 BROOKLYN,BROOKLYN,BROOKLYN
26985283,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,10452,1289 SHAKESPEARE AVENUE,SHAKESPEARE AVENUE,WEST 169 STREET,CORPORAL IRWIN FISCHER PLACE,,,ADDRESS,BRONX,N/A,Closed,04 BRONX,BRONX,BRONX
26985312,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,10021,1032 LEXINGTON AVENUE,LEXINGTON AVENUE,EAST 73 STREET,EAST 74 STREET,,,ADDRESS,NEW YORK,N/A,Closed,08 MANHATTAN,MANHATTAN,MANHATTAN
26985330,HPD,Department of Housing Preservation and Development,ELECTRIC,BELL-BUZZER/INTERCOM,RESIDENTIAL BUILDING,10452,1289 SHAKESPEARE AVENUE,SHAKESPEARE AVENUE,WEST 169 STREET,CORPORAL IRWIN FISCHER PLACE,,,ADDRESS,BRONX,N/A,Closed,04 BRONX,BRONX,BRONX
26985376,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11377,45-59 45 STREET,45 STREET,GREENPOINT AVENUE,47 AVENUE,,,ADDRESS,Woodside,N/A,Closed,02 QUEENS,QUEENS,QUEENS
26985393,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11373,42-42 80 STREET,80 STREET,BEND,45 AVENUE,,,ADDRESS,Elmhurst,N/A,Closed,04 QUEENS,QUEENS,QUEENS
26985399,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11215,185 16 STREET,16 STREET,4 AVENUE,5 AVENUE,,,ADDRESS,BROOKLYN,N/A,Closed,07 BROOKLYN,BROOKLYN,BROOKLYN
26985400,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10457,2271 WASHINGTON AVENUE,WASHINGTON AVENUE,EAST 182 STREET,EAST 183 STREET,,,ADDRESS,BRONX,N/A,Closed,06 BRONX,BRONX,BRONX
26985407,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11221,862 DE KALB AVENUE,DE KALB AVENUE,THROOP AVENUE,MARCUS GARVEY BOULEVARD,,,ADDRESS,BROOKLYN,N/A,Closed,03 BROOKLYN,BROOKLYN,BROOKLYN
26985416,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10468,2845 UNIVERSITY AVENUE,UNIVERSITY AVENUE,WEST 197 STREET,RESERVOIR AVENUE,,,ADDRESS,BRONX,N/A,Closed,08 BRONX,BRONX,BRONX
26985419,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10034,647 WEST 207 STREET,WEST 207 STREET,COOPER STREET,SEAMAN AVENUE,,,ADDRESS,NEW YORK,N/A,Closed,12 MANHATTAN,MANHATTAN,MANHATTAN
26985453,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10463,3810 BAILEY AVENUE,BAILEY AVENUE,WEST 238 STREET,BEND,,,ADDRESS,BRONX,N/A,Closed,08 BRONX,BRONX,BRONX
26985454,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10013,60 MULBERRY STREET,MULBERRY STREET,BEND,BAYARD STREET,,,ADDRESS,NEW YORK,N/A,Closed,03 MANHATTAN,MANHATTAN,MANHATTAN
26985459,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10467,2856 BRONX PARK EAST,BRONX PARK EAST,BRITTON STREET,ARNOW AVENUE,,,ADDRESS,BRONX,N/A,Closed,11 BRONX,BRONX,BRONX
26985464,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10034,578 ACADEMY STREET,ACADEMY STREET,POST AVENUE,SHERMAN AVENUE,,,ADDRESS,NEW YORK,N/A,Closed,12 MANHATTAN,MANHATTAN,MANHATTAN
26985468,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10467,3501 DECATUR AVENUE,DECATUR AVENUE,EAST GUN HILL ROAD,EAST 211 STREET,,,ADDRESS,BRONX,N/A,Closed,07 BRONX,BRONX,BRONX
26985470,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11235,3191 EMMONS AVENUE,EMMONS AVENUE,BRAGG STREET,BRIGHAM STREET,,,ADDRESS,BROOKLYN,N/A,Closed,15 BROOKLYN,BROOKLYN,BROOKLYN
26985475,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10472,1742 EAST 172 STREET,EAST 172 STREET,ROSEDALE AVENUE,COMMONWEALTH AVENUE,,,ADDRESS,BRONX,N/A,Closed,09 BRONX,BRONX,BRONX
26985494,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11367,79-04 147 STREET,147 STREET,79 AVENUE,UNION TURNPIKE,,,ADDRESS,Flushing,N/A,Closed,08 QUEENS,QUEENS,QUEENS
26985499,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10451,721 WALTON AVENUE,WALTON AVENUE,EAST 153 STREET,EAST 157 STREET,,,ADDRESS,BRONX,N/A,Closed,04 BRONX,BRONX,BRONX
26985508,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10463,3034 KINGSBRIDGE AVENUE,KINGSBRIDGE AVENUE,MARBLE HILL AVENUE,WEST 231 STREET,,,ADDRESS,BRONX,N/A,Closed,08 BRONX,BRONX,BRONX
26985510,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10040,4469 BROADWAY,BROADWAY,FAIRVIEW AVENUE,WEST 192 STREET,,,ADDRESS,NEW YORK,N/A,Closed,12 MANHATTAN,MANHATTAN,MANHATTAN
26985755,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11385,1822 HARMAN STREET,HARMAN STREET,SENECA AVENUE,ONDERDONK AVENUE,,,ADDRESS,Ridgewood,N/A,Closed,05 QUEENS,QUEENS,QUEENS
26985760,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10463,3810 BAILEY AVENUE,BAILEY AVENUE,WEST 238 STREET,BEND,,,ADDRESS,BRONX,N/A,Closed,08 BRONX,BRONX,BRONX
26985761,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11209,230 73 STREET,73 STREET,RIDGE BOULEVARD,3 AVENUE,,,ADDRESS,BROOKLYN,N/A,Closed,10 BROOKLYN,BROOKLYN,BROOKLYN
26985765,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10470,735 EAST 242 STREET,EAST 242 STREET,WHITE PLAINS ROAD,BARNES AVENUE,,,ADDRESS,BRONX,N/A,Closed,12 BRONX,BRONX,BRONX
26985767,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11691,15-02 MOTT AVENUE,MOTT AVENUE,GATEWAY BOULEVARD,CORNAGA AVENUE,,,ADDRESS,Far Rockaway,N/A,Closed,14 QUEENS,QUEENS,QUEENS
26985803,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11233,288 MAC DOUGAL STREET,MAC DOUGAL STREET,ROCKAWAY AVENUE,MOTHER GASTON BOULEVARD,,,ADDRESS,BROOKLYN,N/A,Closed,16 BROOKLYN,BROOKLYN,BROOKLYN
26985804,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11205,88 CLINTON AVENUE,CLINTON AVENUE,PARK AVENUE,MYRTLE AVENUE,,,ADDRESS,BROOKLYN,N/A,Closed,02 BROOKLYN,BROOKLYN,BROOKLYN
26985813,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10463,3804 GREYSTONE AVENUE,GREYSTONE AVENUE,WEST 238 STREET,WEST 240 STREET,,,ADDRESS,BRONX,N/A,Closed,08 BRONX,BRONX,BRONX
26985814,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10023,139 WEST END AVENUE,WEST END AVENUE,WEST 66 STREET,WEST 70 STREET,,,ADDRESS,NEW YORK,N/A,Closed,07 MANHATTAN,MANHATTAN,MANHATTAN
26985816,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11208,269 FOUNTAIN AVENUE,FOUNTAIN AVENUE,BELMONT AVENUE,SUTTER AVENUE,,,ADDRESS,BROOKLYN,N/A,Closed,05 BROOKLYN,BROOKLYN,BROOKLYN
26985820,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11226,779 ROGERS AVENUE,ROGERS AVENUE,LINDEN BOULEVARD,MARTENSE STREET,,,ADDRESS,BROOKLYN,N/A,Closed,17 BROOKLYN,BROOKLYN,BROOKLYN
26985841,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10025,752 WEST END AVENUE,WEST END AVENUE,WEST 96 STREET,WEST 97 STREET,,,ADDRESS,NEW YORK,N/A,Closed,07 MANHATTAN,MANHATTAN,MANHATTAN
26985872,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10466,717 EAST 228 STREET,EAST 228 STREET,WHITE PLAINS ROAD,BARNES AVENUE,,,ADDRESS,BRONX,N/A,Closed,12 BRONX,BRONX,BRONX
26985873,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10022,963 1 AVENUE,1 AVENUE,EAST 52 STREET,EAST 53 STREET,,,ADDRESS,NEW YORK,N/A,Closed,06 MANHATTAN,MANHATTAN,MANHATTAN
26985874,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11237,1507 GATES AVENUE,GATES AVENUE,IRVING AVENUE,MYRTLE AVENUE,,,ADDRESS,BROOKLYN,N/A,Closed,04 BROOKLYN,BROOKLYN,BROOKLYN
26986049,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,RESIDENTIAL BUILDING,10021,1032 LEXINGTON AVENUE,LEXINGTON AVENUE,EAST 73 STREET,EAST 74 STREET,,,ADDRESS,NEW YORK,N/A,Closed,08 MANHATTAN,MANHATTAN,MANHATTAN
26986072,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,11208,306 MONTAUK AVENUE,MONTAUK AVENUE,SUTTER AVENUE,BLAKE AVENUE,,,ADDRESS,BROOKLYN,N/A,Closed,Unspecified BROOKLYN,BROOKLYN,BROOKLYN
26986114,HPD,Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,RESIDENTIAL BUILDING,11374,98-10 64 AVENUE,64 AVENUE,98 STREET,99 STREET,,,ADDRESS,Rego Park,N/A,Closed,Unspecified QUEENS,QUEENS,QUEENS
26986145,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11212,196 ROCKAWAY PARKWAY,ROCKAWAY PARKWAY,WINTHROP STREET,CLARKSON AVENUE,,,ADDRESS,BROOKLYN,N/A,Closed,17 BROOKLYN,BROOKLYN,BROOKLYN
26986146,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11221,192 MALCOLM X BOULEVARD,MALCOLM X BOULEVARD,MADISON STREET,PUTNAM AVENUE,,,ADDRESS,BROOKLYN,N/A,Closed,03 BROOKLYN,BROOKLYN,BROOKLYN
26986157,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10452,1180 ANDERSON AVENUE,ANDERSON AVENUE,WEST 167 STREET,SHAKESPEARE AVENUE,,,ADDRESS,BRONX,N/A,Closed,04 BRONX,BRONX,BRONX
