Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
26985524,12/25/2013 11:30:00 PM,12/25/2013 11:52:00 PM,DOT,Department of Transportation,Traffic Signal Condition,LED Pedestrian Unit,,,,,WALTON AVE,175 ST E,WALTON AVE,175 ST E,INTERSECTION,,,N/A,Closed,,12/25/2013 11:52:00 PM,Unspecified BRONX,BRONX,,,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
26984768,12/25/2013 11:28:46 PM,02/06/2014 02:36:30 PM,DOHMH,Department of Health and Mental Hygiene,Mold,Public Complaint - Comm Location,Commercial Building,11223,336 AVENUE Y,AVENUE Y,SHELL ROAD,WEST 3 STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,02/08/2014 11:28:46 PM,02/06/2014 02:36:30 PM,13 BROOKLYN,BROOKLYN,991657,153515,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.58803626284055,-73.97333179661432,"(40.58803626284055, -73.97333179661432)"
26984880,12/25/2013 11:21:33 PM,12/26/2013 12:37:11 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11220,302 67 STREET,67 STREET,3 AVENUE,4 AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/26/2013 07:21:33 AM,12/26/2013 12:37:11 AM,10 BROOKLYN,BROOKLYN,977397,171581,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.63762415079849,-74.02469191372786,"(40.63762415079849, -74.02469191372786)"
26985626,12/25/2013 11:20:19 PM,01/13/2014 01:04:08 PM,DOT,Department of Transportation,Ferry Permit,Performance,Terminal,,,,,,,,,,,N/A,Closed,01/24/2014 11:20:19 PM,01/13/2014 01:04:08 PM,0 Unspecified,Unspecified,,,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,N/A,St. George Terminal (Staten Island),,,
26983727,12/25/2013 11:19:43 PM,12/26/2013 04:06:20 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10025,726 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST 95 STREET,WEST 96 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,12/26/2013 07:19:43 AM,12/26/2013 04:06:20 AM,07 MANHATTAN,MANHATTAN,992372,228430,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.79365992334834,-73.97066718696469,"(40.79365992334834, -73.97066718696469)"
26983952,12/25/2013 11:18:14 PM,12/26/2013 02:16:04 AM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11204,2075 59 STREET,59 STREET,20 AVENUE,21 AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/26/2013 07:18:14 AM,12/26/2013 02:16:04 AM,12 BROOKLYN,BROOKLYN,989601,164807,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.6190319825049,-73.98072528418075,"(40.6190319825049, -73.98072528418075)"
26986390,12/25/2013 11:16:04 PM,12/26/2013 12:35:07 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10005,,,,,HANOVER SQUARE,WATER STREET,INTERSECTION,NEW YORK,,Precinct,Closed,12/26/2013 07:16:04 AM,12/26/2013 12:35:07 AM,01 MANHATTAN,MANHATTAN,981758,195794,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.704085714291786,-74.00898782924527,"(40.704085714291786, -74.00898782924527)"
26983738,12/25/2013 11:12:00 PM,12/29/2013 10:24:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,,,201 ST E,GRAND CONCOURSE,201 ST E,GRAND CONCOURSE,INTERSECTION,,,N/A,Closed,,12/29/2013 10:24:00 AM,Unspecified BRONX,BRONX,,,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
26985284,12/25/2013 11:10:53 PM,12/26/2013 12:16:25 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10463,2788 KINGSBRIDGE TERRACE,KINGSBRIDGE TERRACE,WEST KINGSBRIDGE ROAD,WEST 229 STREET,,,ADDRESS,BRONX,,Precinct,Closed,12/26/2013 07:10:53 AM,12/26/2013 12:16:25 AM,08 BRONX,BRONX,1011023,257211,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.87261860243233,-73.903193783137,"(40.87261860243233, -73.903193783137)"
26986277,12/25/2013 11:09:03 PM,12/25/2013 11:33:47 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11377,32-15 54 STREET,54 STREET,32 AVENUE,NORTHERN BOULEVARD,,,ADDRESS,WOODSIDE,,Precinct,Closed,12/26/2013 07:09:03 AM,12/25/2013 11:33:47 PM,01 QUEENS,QUEENS,1010027,214283,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75479627600587,-73.90695999626222,"(40.75479627600587, -73.90695999626222)"
